Company_Name,HeadQuarter,Sector,Amount($),Stage,Year,Investor
RupeeCircle,"Mumbai, Maharashtra, India","Financial Services, Lending, Peer to Peer",560000.0,Seed,2018,
Wooden Street,"Jaipur, Rajasthan, India","E-Commerce, Furniture, Home Decor, Interior Design, Internet",1000000.0,Series A,2018,
The Ken,"Bengaluru, Karnataka, India",Digital Media,1500000.0,Series A,2018,
SaffronStays,"Mumbai, Maharashtra, India",—,2000000.0,Seed,2018,
Foyr,"Pune, Maharashtra, India","Home Decor, Interior Design",4200000.0,Series A,2018,
MEngage,"Jaipur, Rajasthan, India","Health Care, Medical Device, Mobile Apps",175000.0,Seed,2018,
Inner Being Wellness,"Hyderabad, Andhra Pradesh, India",—,490000.0,Angel,2018,
Wishberry,"Mumbai, Maharashtra, India","Crowdfunding, Finance, Financial Services",1400000.0,Series A,2018,
McXtra,"Andheri, Maharashtra, India","Finance, Financial Services, Insurance",1300000.0,Seed,2018,
SmartVizX,"Noida, Uttar Pradesh, India","Software, Virtual Reality",1450000.0,Seed,2018,
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,"Pune, Maharashtra, India",—,2800.0,Seed,2018,
Scale Labs,"Delhi, Delhi, India",—,1000000.0,Seed,2018,
HungerBox,"Bengaluru, Karnataka, India","B2B, Food and Beverage, Food Delivery",4500000.0,Series A,2018,
Biryani By Kilo,"Noida, Uttar Pradesh, India","Catering, Food and Beverage, Food Delivery, Food Processing",1000000.0,Seed,2018,
Wholesome Habits (EAT Anytime),"Mumbai, Maharashtra, India","Food and Beverage, Snack Food",500000.0,Seed,2018,
GoBumpr,"Mylapore, Tamil Nadu, India","Automotive, E-Commerce, Mobile",600000.0,Seed,2018,
Fixpocket,"Ahmedabad, Gujarat, India","Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",250000.0,Seed,2018,
edureka!,"Bangalore, Karnataka, India","Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",2000000.0,Series A,2018,
Wow Express,"Mumbai, Maharashtra, India","Delivery, Information Technology, Mobile Apps",4500000.0,Series A,2018,
ZunRoof,"Gurgaon, Haryana, India","Environmental Consulting, Renewable Energy",232400.0,Angel,2018,
Eggoz,"Indore, Madhya Pradesh, India","Food and Beverage, Food Processing",168000.0,Angel,2018,
Sqrrl Fintech,"Gurgaon, Haryana, India","Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",1000000.0,Seed,2018,
IndiQube,"Bengaluru, Karnataka, India","Commercial Real Estate, Coworking, Office Administration, Real Estate",210000.0,Series A,2018,
EGK Foods,"Mumbai, Maharashtra, India","Food and Beverage, Food Processing, Organic Food, Snack Food",280000.0,Seed,2018,
NirogStreet,"Gurgaon, Haryana, India","Apps, Health Care, Internet, Mobile Apps, Personal Health",300000.0,Seed,2018,
Pixr8,"Ghaziabad, Uttar Pradesh, India","Digital Media, Incubators, Social Entrepreneurship",50000.0,Seed,2018,
Nivesh.com,"Noida, Uttar Pradesh, India","Finance, Financial Services, Marketing",420000.0,Seed,2018,
Hey Deedee,"Mumbai, Maharashtra, India","Delivery Service, Logistics, Service Industry",462000.0,Seed,2018,
DigiConnectt Technologys,"Bengaluru, Karnataka, India","Information Services, Information Technology",125000.0,Seed,2018,
Locus.sh,"Bangalore, Karnataka, India","Big Data, Data Visualization, Logistics, Software",4000000.0,Series A,2018,
Sports Flashes Pvt. Ltd,"New Delhi, Delhi, India","Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",1000000.0,Seed,2018,
Picxy,"Guntur, Andhra Pradesh, India",Internet,130000.0,Seed,2018,
Huddle,"Haryana, Haryana, India",Consulting,300000.0,Seed,2018,
Cash Suvidha,"New Delhi, Delhi, India",Finance,1000000.0,Seed,2018,
Smartcoin,"Bangalore, Karnataka, India","Big Data, Financial Services, Machine Learning, Predictive Analytics",2000000.0,Seed,2018,
Roadcast,"New Delhi, Delhi, India",—,250000.0,Angel,2018,
Printline Media(ThePrint),"New Delhi, Delhi, India","Digital Media, News, Publishing",488600.0,Seed,2018,
Doxper,"Mumbai, Maharashtra, India","Health Care, Hospital",1008000.0,Seed,2018,
i2ifunding,"Noida, Uttar Pradesh, India","Crowdfunding, Finance, Financial Services",700000.0,Angel,2018,
Fasal,"Bengaluru, Karnataka, India","Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",120000.0,Seed,2018,
CoinGeto,"Delhi, Delhi, India","Cryptocurrency, Trading Platform",1680000.0,Seed,2018,
Avail Finance,"Bangalore, Karnataka, India","Finance, FinTech, Mobile Payments",240800.0,Series A,2018,
Tripeur,"Bengaluru, Karnataka, India",Information Technology,600000.0,Seed,2018,
Doubtnut,"Gurgaon, Haryana, India","E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",490000.0,Seed,2018,
MCaffeine,"Mumbai, Maharashtra, India",Consumer Goods,448000.0,Seed,2018,
TrustCheckr,"Bengaluru, Karnataka, India",Information Technology,100000.0,Angel,2018,
HealthAssure,"Mumbai, Maharashtra, India","Fitness, Health Care, Wellness",1000000.0,Seed,2018,
Picture TIme,"New Delhi, Delhi, India",Digital Entertainment,3500000.0,Seed,2018,
1Crowd,"Mumbai, Maharashtra, India","Crowdsourcing, Financial Services, Funding Platform, Venture Capital",3500000.0,Angel,2018,
Wellthy Therapeutics Pvt Ltd,"Mumbai, Maharashtra, India","Health Care, Hospital",1890000.0,Seed,2018,
Kuvera.in,"Bangalore, Karnataka, India",Financial Services,250000.0,Angel,2018,
Livehealth,"Pune, Maharashtra, India","Health Care, Information Technology, Management Information Systems",1100000.0,Seed,2018,
Gramophone,"Indore, Madhya Pradesh, India",Farming,1000000.0,Seed,2018,
Buddy4Study.com,"Noida, Uttar Pradesh, India","Career Planning, Education, Higher Education, Service Industry",3000000.0,Series A,2018,
Toffee,"Gurgaon, Haryana, India",—,1500000.0,Seed,2018,
ORO Wealth,"Mumbai, Maharashtra, India",—,1600000.0,Series A,2018,
HealWell24,"Mumbai, Maharashtra, India","Dental, Elder Care, Health Care, Home Health Care, Personal Health",200000.0,Seed,2018,
Acko General Insurance,"Mumbai, Maharashtra, India","Financial Services, Insurance, Private Social Networking",168000.0,Series A,2018,
arzooo.com,"Bangalore, Karnataka, India","Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",210000.0,Seed,2018,
Bonphul Air Products,"Delhi, Delhi, India",CleanTech,280000.0,Angel,2018,
Edyoo,"Bengaluru, Karnataka, India",Education,1000000.0,Seed,2018,
Chtrbox,"Mumbai, Maharashtra, India","Advertising, Internet, Marketing",140000.0,Angel,2018,
Aashiyaan Housing and Development Finance,"Kolkata, West Bengal, India",Financial Services,1890000.0,Seed,2018,
BetterPlace Safety Solutions Pvt. Ltd.,"Bangalore City, Karnataka, India","Human Resources, Security, Training",3000000.0,Series A,2018,
Cashkumar,"Bengaluru, Karnataka, India","Consumer Lending, Finance, FinTech",700000.0,Seed,2018,
Rocketium,"Bangalore, Karnataka, India","Marketing, Social Media, Video",280000.0,Seed,2018,
mfine,"Bengaluru, Karnataka, India","Health Care, Hospital",4200000.0,Series A,2018,
Earth Food,"Pune, Maharashtra, India","Food and Beverage, Food Processing",896000.0,Seed,2018,
Charcoal Eats,"Mumbai, Maharashtra, India",Food Processing,700000.0,Seed,2018,
TheCollegeFever,"Bangalore, Karnataka, India","Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",250000.0,Seed,2018,
Wicked Ride Adventure Services Private Limited,"Bangalore, Karnataka, India","Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",10000000.0,,2018,
Career Anna,"Bangalore, Karnataka, India","Commercial, E-Learning, Education",560000.0,Seed,2018,
ERUDITUS Executive Education,"Mumbai, Maharashtra, India","Continuing Education, EdTech, Education, Skill Assessment",40000000.0,Series C,2018,
Square Off,"Mumbai, Maharashtra, India","Internet of Things, Robotics",1100000.0,Seed,2018,
UrbanClap,"Delhi, Delhi, India","Apps, Home Services, Information Services, Information Technology",50000000.0,Series D,2018,
Hospals,"New Delhi, Delhi, India","Medical, Tourism",1500000.0,Seed,2018,
Kogta Financial India Limited,"Jaipur, Rajasthan, India",Financial Services,21560000.0,Series B,2018,
The Souled Store,"Mumbai, Maharashtra, India","Fashion, Graphic Design, Wearables",3000000.0,,2018,
Hush - Speak Up. Make Work Better,"Bangalore, Karnataka, India","Communities, Leisure, Mobile Apps, Software",630000.0,Seed,2018,
Drivezy,"Bengaluru, Karnataka, India","Automotive, Rental, Sharing Economy",100000000.0,Debt Financing,2018,
